# Transmission spectrum extracted from transmission.png
# Columns: pixel_x, pixel_y, x_normalized, y_normalized
# Note: x_normalized and y_normalized are in range [0, 1]
# The actual wavelength/frequency and transmission values depend on the original plot axes
# Modify the ranges in the script if you know the actual axis values
#
# pixel_x    pixel_y    x_normalized    y_normalized(transmission)
     0.0     247.2  0.000000  0.356120
     1.0     246.9  0.000914  0.357096
     2.0     246.5  0.001828  0.358073
     3.0     328.0  0.002742  0.145833
     4.0     327.0  0.003656  0.148438
     5.0     326.0  0.004570  0.151042
     6.0     245.0  0.005484  0.361979
     7.0     244.6  0.006399  0.362956
     8.0     244.2  0.007313  0.363932
     9.0     322.0  0.008227  0.161458
    10.0     321.0  0.009141  0.164062
    11.0     320.0  0.010055  0.166667
    12.0     242.8  0.010969  0.367839
    13.0     242.4  0.011883  0.368815
    14.0     242.0  0.012797  0.369792
    15.0     316.0  0.013711  0.177083
    16.0     315.0  0.014625  0.179688
    17.0     314.0  0.015539  0.182292
    18.0     277.2  0.016453  0.277995
    19.0     240.5  0.017367  0.373698
    20.0     240.1  0.018282  0.374674
    21.0     311.0  0.019196  0.190104
    22.0     310.0  0.020110  0.192708
    23.0     309.5  0.021024  0.194010
    24.0     239.0  0.021938  0.377604
    25.0     261.8  0.022852  0.318142
    26.0     284.7  0.023766  0.258681
    27.0     307.5  0.024680  0.199219
    28.0     307.5  0.025594  0.199219
    29.0     306.5  0.026508  0.201823
    30.0     228.3  0.027422  0.405506
    31.0     228.3  0.028336  0.405506
    32.0     228.0  0.029250  0.406250
    33.0     305.5  0.030165  0.204427
    34.0     305.5  0.031079  0.204427
    35.0     305.5  0.031993  0.204427
    36.0     228.0  0.032907  0.406250
    37.0     228.0  0.033821  0.406250
    38.0     227.7  0.034735  0.406994
    39.0     304.5  0.035649  0.207031
    40.0     304.5  0.036563  0.207031
    41.0     304.5  0.037477  0.207031
    42.0     227.7  0.038391  0.406994
    43.0     227.7  0.039305  0.406994
    44.0     227.7  0.040219  0.406994
    45.0     304.5  0.041133  0.207031
    46.0     304.5  0.042048  0.207031
    47.0     305.0  0.042962  0.205729
    48.0     228.0  0.043876  0.406250
    49.0     228.0  0.044790  0.406250
    50.0     228.0  0.045704  0.406250
    51.0     306.0  0.046618  0.203125
    52.0     306.5  0.047532  0.201823
    53.0     307.0  0.048446  0.200521
    54.0     284.2  0.049360  0.259874
    55.0     261.4  0.050274  0.319227
    56.0     238.6  0.051188  0.378581
    57.0     308.5  0.052102  0.196615
    58.0     309.0  0.053016  0.195312
    59.0     309.5  0.053931  0.194010
    60.0     239.4  0.054845  0.376628
    61.0     239.6  0.055759  0.376139
    62.0     239.8  0.056673  0.375651
    63.0     312.0  0.057587  0.187500
    64.0     312.5  0.058501  0.186198
    65.0     313.0  0.059415  0.184896
    66.0     276.9  0.060329  0.278809
    67.0     240.9  0.061243  0.372721
    68.0     277.9  0.062157  0.276204
    69.0     315.0  0.063071  0.179688
    70.0     315.5  0.063985  0.178385
    71.0     316.0  0.064899  0.177083
    72.0     242.0  0.065814  0.369792
    73.0     242.2  0.066728  0.369303
    74.0     242.4  0.067642  0.368815
    75.0     318.5  0.068556  0.170573
    76.0     319.0  0.069470  0.169271
    77.0     319.5  0.070384  0.167969
    78.0     243.1  0.071298  0.366862
    79.0     243.5  0.072212  0.365885
    80.0     282.8  0.073126  0.263672
    81.0     322.0  0.074040  0.161458
    82.0     322.5  0.074954  0.160156
    83.0     323.0  0.075868  0.158854
    84.0     283.8  0.076782  0.260905
    85.0     244.6  0.077697  0.362956
    86.0     284.6  0.078611  0.258952
    87.0     324.5  0.079525  0.154948
    88.0     325.0  0.080439  0.153646
    89.0     325.5  0.081353  0.152344
    90.0     245.4  0.082267  0.361003
    91.0     272.4  0.083181  0.290582
    92.0     299.5  0.084095  0.220161
    93.0     326.5  0.085009  0.149740
    94.0     327.0  0.085923  0.148438
    95.0     327.5  0.086837  0.147135
    96.0     286.8  0.087751  0.253092
    97.0     246.1  0.088665  0.359049
    98.0     287.3  0.089580  0.251790
    99.0     328.5  0.090494  0.144531
   100.0     328.5  0.091408  0.144531
   101.0     329.0  0.092322  0.143229
   102.0     301.6  0.093236  0.214518
   103.0     274.2  0.094150  0.285807
   104.0     246.9  0.095064  0.357096
   105.0     330.5  0.095978  0.139323
   106.0     330.5  0.096892  0.139323
   107.0     330.5  0.097806  0.139323
   108.0     302.8  0.098720  0.211589
   109.0     275.0  0.099634  0.283854
   110.0     247.2  0.100548  0.356120
   111.0     331.5  0.101463  0.136719
   112.0     331.5  0.102377  0.136719
   113.0     331.5  0.103291  0.136719
   114.0     235.4  0.104205  0.386905
   115.0     235.4  0.105119  0.386905
   116.0     235.4  0.106033  0.386905
   117.0     331.5  0.106947  0.136719
   118.0     331.5  0.107861  0.136719
   119.0     331.5  0.108775  0.136719
   120.0     235.4  0.109689  0.386905
   121.0     235.4  0.110603  0.386905
   122.0     235.4  0.111517  0.386905
   123.0     331.5  0.112431  0.136719
   124.0     331.5  0.113346  0.136719
   125.0     331.5  0.114260  0.136719
   126.0     235.4  0.115174  0.386905
   127.0     235.1  0.116088  0.387649
   128.0     235.1  0.117002  0.387649
   129.0     330.5  0.117916  0.139323
   130.0     330.5  0.118830  0.139323
   131.0     330.5  0.119744  0.139323
   132.0     234.9  0.120658  0.388393
   133.0     234.9  0.121572  0.388393
   134.0     234.9  0.122486  0.388393
   135.0     329.5  0.123400  0.141927
   136.0     329.5  0.124314  0.141927
   137.0     328.5  0.125229  0.144531
   138.0     234.6  0.126143  0.389137
   139.0     234.6  0.127057  0.389137
   140.0     234.6  0.127971  0.389137
   141.0     327.5  0.128885  0.147135
   142.0     327.5  0.129799  0.147135
   143.0     327.0  0.130713  0.148438
   144.0     234.0  0.131627  0.390625
   145.0     234.0  0.132541  0.390625
   146.0     233.7  0.133455  0.391369
   147.0     325.5  0.134369  0.152344
   148.0     325.5  0.135283  0.152344
   149.0     325.5  0.136197  0.152344
   150.0     298.5  0.137112  0.222548
   151.0     271.6  0.138026  0.292752
   152.0     244.6  0.138940  0.362956
   153.0     323.5  0.139854  0.157552
   154.0     323.5  0.140768  0.157552
   155.0     322.5  0.141682  0.160156
   156.0     296.3  0.142596  0.228407
   157.0     270.1  0.143510  0.296658
   158.0     243.9  0.144424  0.364909
   159.0     321.5  0.145338  0.162760
   160.0     320.5  0.146252  0.165365
   161.0     320.5  0.147166  0.165365
   162.0     232.3  0.148080  0.395089
