Wavelength (nm),Reflectance (%)
350,2.848592
360,1.077466
370,0.545776
380,0.549297
390,0.669015
400,0.735917
410,0.735917
420,0.676058
430,0.609156
440,0.570424
450,0.552818
460,0.566903
470,0.605635
480,0.651410
490,0.679579
500,0.707748
510,0.707748
520,0.693663
530,0.665494
540,0.630283
550,0.588029
560,0.552818
570,0.531691
580,0.517607
590,0.514086
600,0.531691
610,0.552818
620,0.580987
630,0.623241
640,0.665494
650,0.707748
660,0.750001
670,0.785212
680,0.820424
690,0.841550
700,0.862677
710,0.869719
720,0.862677
730,0.845072
740,0.820424
750,0.785212
760,0.746480
770,0.707748
780,0.661973
790,0.623241
800,0.577466
810,0.538734
820,0.503522
830,0.475353
840,0.450706
850,0.433100
860,0.426058
870,0.433100
880,0.447184
890,0.468311
900,0.503522
910,0.549297
920,0.609156
930,0.676058
940,0.764086
950,0.859156
960,0.964790
970,1.073945
980,1.197184
990,1.323945
1000,1.464790
